IsChecked;Фраза;Источник;Дата добавления;Частотность [WS];Частотность * * [WS];Частотность *!* [WS];Сезонность [WS];Корректность словоформы [SG];Частотность (первая) [RA];Частотность (все) [RA];Конкуренция в ПС Яндекс [KEI];Конкуренция в ПС Google [KEI];Кол-во главных страниц в ПС Яндекс [KEI];Кол-во главных страниц в ПС Google [KEI];Кол-во вхождений в заголовок в ПС Яндекс [KEI];Кол-во вхождений в заголовок в ПС Google [KEI];Рел. страница в ПС Яндекс;Рел. страница в ПС Google;Позиция в ПС Яндекс;Страница в ПС Яндекс;Позиция в ПС Google;Страница в ПС Google
FALSE;купить рыболовную катушку;ManualAdded;29.06.2015 19:05;605;44;14;FALSE;TRUE;;;479000;20200;0;0;1;3;;-;-1;;-1;
FALSE;рыболовная остнастка;ManualAdded;29.06.2015 19:10;;0;0;FALSE;TRUE;;;;243000;;0;;0;;http://rybolove.com.ua/product/ribolovnii-super-berkley-anglers-super-glue-klei-dlya-prokleiki-uzlov-i-montazha.html;;;-1;
FALSE;купить рыболовную оснастку;ManualAdded;29.06.2015 19:05;10;4;3;FALSE;TRUE;;;767000;255000;6;0;0;1;;-;-1;;-1;
FALSE;купить удочку для зимней рыбалки;ManualAdded;29.06.2015 19:05;9;2;1;TRUE;TRUE;;;1000000;349000;0;0;1;2;;-;-1;;-1;
FALSE;рыболовное снаряжение;ManualAdded;29.06.2015 19:05;43;4;4;TRUE;TRUE;;;2000000;389000;2;1;6;9;;http://rybolove.com.ua/product/ribolovnii-super-berkley-anglers-super-glue-klei-dlya-prokleiki-uzlov-i-montazha.html;-1;;-1;
FALSE;купить удочку;ManualAdded;29.06.2015 19:05;8217;455;296;TRUE;TRUE;;;2000000;475000;0;0;3;4;-;-;-1;;-1;
FALSE;купить удилище;ManualAdded;29.06.2015 19:05;7726;137;116;FALSE;TRUE;;;1000000;503000;0;0;4;4;;-;-1;;-1;
FALSE;купить снаряжение для рыбалки;ManualAdded;29.06.2015 19:05;12;2;2;FALSE;TRUE;;;3000000;584000;0;2;1;1;;-;-1;;-1;
FALSE;купить спиннинг;ManualAdded;29.06.2015 19:05;13159;910;832;TRUE;TRUE;;;5000000;610000;0;0;5;4;;-;-1;;-1;
FALSE;приманки для рыбной ловли;ManualAdded;29.06.2015 19:05;18;0;0;TRUE;TRUE;;;7000000;627000;0;0;1;0;;http://rybolove.com.ua/product/sil-vibrohvost-berkley-mpsm-ccsrs-shrug-minnow-375sm.html;-1;;-1;
FALSE;купить рыболовные снасти;ManualAdded;29.06.2015 19:05;1153;162;151;FALSE;TRUE;;;474000;644000;7;5;2;0;-;-;-1;;-1;
FALSE;купить рыболовную приманку;ManualAdded;29.06.2015 19:05;62;1;0;TRUE;TRUE;;;470000;761000;0;0;1;2;;-;-1;;-1;
FALSE;рыбалка украина;ManualAdded;29.06.2015 19:05;8794;11;10;FALSE;TRUE;;;8000000;920000;5;7;0;0;;http://rybolove.com.ua/zimnyaya-ribalka/page/6;-1;;-1;
FALSE;купить одежду для рыбалки;ManualAdded;29.06.2015 19:05;45;10;7;FALSE;TRUE;;;26000000;1030000;0;0;3;4;;-;-1;;-1;
FALSE;зимняя рыбалка;ManualAdded;29.06.2015 19:05;3146;96;96;FALSE;TRUE;;;12000000;1400000;1;0;7;9;;http://rybolove.com.ua/zimnyaya-ribalka/page/6;-1;;-1;
FALSE;одежда для рыбалки;ManualAdded;29.06.2015 19:05;351;37;37;FALSE;TRUE;;;9000000;1670000;0;0;9;7;;http://rybolove.com.ua/product/kurtka-extreme-fishing-fly-fishing-jacket-obs-jk1-size-m.html;-1;;-1;
FALSE;все для рыбалки;ManualAdded;29.06.2015 19:05;382801;460;452;FALSE;TRUE;;;25000000;2120000;8;6;7;2;;http://rybolove.com.ua/product/ochki-solncezashitnie-extreme-fishing-pss-71-grey.html;-1;;-1;
FALSE;интернет магазин рыбалки;ManualAdded;29.06.2015 19:05;2826;219;45;FALSE;TRUE;;;24000000;42100000;10;7;1;0;;http://rybolove.com.ua/primanki;-1;;-1;
